country,field,year,estimated_investment,complete
China (mainland),"Sales, retail, commerce, marketing",2023,108,True
Colombia,Data and analytics,2024,13,False
Colombia,Software,2016,0,True
Czechia,Data and analytics,2016,2,True
Germany,"Mobile, platforms & Internet services",2024,170,False
Germany,General purpose,2024,1335,False
Spain,Computer Vision,2014,0,True
Spain,Community and Lifestyle,2018,20,True
Spain,Other,2021,92,True
Spain,Software,2016,124,True
Spain,"Mobile, platforms & Internet services",2021,123,True
Spain,Hardware,2015,7,True
Estonia,General purpose,2018,17,True
Estonia,Other,2016,2,True
Finland,"Sales, retail, commerce, marketing",2016,2,True
Finland,All,2015,136,True
Finland,Software,2018,678,True
France,Media and Entertainment,2024,138,False
France,Other,2023,403,True
France,Information Technology,2021,818,True
France,Finance,2015,0,True
France,Software,2015,265,True
United Kingdom,Navigation and mapping,2018,17,True
United Kingdom,Telecommunications,2017,4,True
United Kingdom,Finance,2021,969,True
United Kingdom,Robotics,2018,89,True
United Kingdom,Robotics,2022,75,True
United Kingdom,Agriculture,2024,44,False
United Kingdom,Real estate,2018,23,True
United Kingdom,Data and analytics,2016,2296,True
United Kingdom,Consumer goods,2015,11,True
Greece,Data and analytics,2021,54,True
Hungary,Information Technology,2022,29,True
India,General purpose,2015,191,True
India,General purpose,2020,384,True
India,NLP,2022,3,True
India,Other,2021,46,True
India,Software,2016,165,True
India,Lending and Investments,2024,25,False
India,Consumer goods,2020,12242,True
Ireland,Software,2024,162,False
Ireland,Data and analytics,2019,92,True
Israel,NLP,2016,15,True
Israel,Other,2020,248,True
Israel,"Mobile, platforms & Internet services",2018,259,True
Israel,Manufacturing,2015,13,True
Israel,Consumer goods,2020,51,True
Israel,"Sales, retail, commerce, marketing",2022,357,True
Israel,Sports,2015,1,True
Italy,Finance,2018,3,True
Italy,Finance,2020,1,True
Japan,NLP,2019,7,True
South Korea,Other,2022,206,True
South Korea,Software,2015,263,True
South Korea,Education,2022,125,True
Latvia,Software,2015,0,True
Mexico,All,2017,31,True
Mexico,Data and analytics,2019,107,True
Malaysia,General purpose,2021,147,True
Netherlands,All,2014,25,True
Netherlands,"Mobile, platforms & Internet services",2022,205,True
Netherlands,"Mobile, platforms & Internet services",2024,8,False
Netherlands,Other,2016,2,True
Poland,All,2022,186,True
Poland,Data and analytics,2015,21,True
Portugal,Hardware,2024,5,False
Russia,Software,2018,33,True
Singapore,Finance,2017,16,True
Singapore,All,2017,410,True
Sweden,Information Technology,2024,16,False
Sweden,Professional services,2022,50,True
Sweden,General purpose,2017,200,True
Sweden,All,2022,7707,True
Turkey,General purpose,2014,0,True
Ukraine,Software,2020,5,True
United States,Privacy and Security,2023,4001,True
United States,Sports,2015,147,True
United States,"Mobile, platforms & Internet services",2019,21305,True
United States,Biotechnology,2016,587,True
United States,Education,2020,1232,True
United States,Robotics,2015,330,True
United States,Agriculture,2014,5,True
United States,Professional services,2022,8155,True
United States,All,2020,72411,True
South Africa,"Mobile, platforms & Internet services",2020,20,True
South Korea,Real estate,2017,10,True
Peru,All,2014,0,True
Peru,Data and analytics,2015,0,True
Argentina,Information Technology,2021,3,True
Australia,Manufacturing,2022,52,True
Japan,Computer Vision,2016,1,True
Netherlands,Consumer goods,2019,11,True
Saudi Arabia,Hardware,2019,2,True
Sweden,Biotechnology,2019,4,True
United Arab Emirates,Data and analytics,2022,190,True
Denmark,Other,2023,107,True
Denmark,Manufacturing,2015,3,True
Denmark,Data and analytics,2019,27,True
Finland,Hardware,2022,608,True
France,Cyber Security,2023,2,True
Indonesia,All,2022,114,True
Indonesia,All,2023,41,True
South Korea,Biotechnology,2016,2,True
South Korea,Manufacturing,2019,5,True
South Korea,Professional services,2024,6,False
Netherlands,Biotechnology,2024,1,False
Netherlands,Professional services,2017,103,True
France,NLP,2020,470,True
Malaysia,Information Technology,2018,1,True
Malaysia,Professional services,2020,7,True
Thailand,General purpose,2022,10,True
Thailand,Data and analytics,2023,3,True
Brazil,NLP,2023,12,True
Brazil,Sports,2021,2,True
Brazil,Computer Vision,2016,0,True
Chile,"Sales, retail, commerce, marketing",2020,1,True
Denmark,Information Technology,2016,4,True
Kenya,Information Technology,2020,9,True
Norway,Manufacturing,2022,113,True
Poland,Hardware,2017,2,True
Taiwan,Information Technology,2023,12,True
Vietnam,General purpose,2019,1,True
Vietnam,Data and analytics,2016,2,True
Brazil,Community and Lifestyle,2021,1,True
Denmark,Agriculture,2022,9,True
Vietnam,Professional services,2023,25,True
South Africa,General purpose,2019,69,True
Jamaica,All,2018,0,True
Poland,Real estate,2020,1,True
Poland,Real estate,2023,0,True
Bangladesh,"Military, public safety and government",2019,0,True
Sri Lanka,Healthcare and Life Sciences,2019,0,True
Saudi Arabia,Other,2024,1,False
Vietnam,"Mobile, platforms & Internet services",2022,3,True
Egypt,Sports,2020,0,True
Malaysia,Media and Entertainment,2020,0,True
Philippines,Lending and Investments,2023,6,True
Philippines,Finance,2021,1,True
Colombia,Energy and natural resources,2023,0,True
Romania,Sports,2022,0,True
New Zealand,Gaming,2021,158,True
Zimbabwe,Energy and natural resources,2023,0,True
Paraguay,General purpose,2024,4,False
Georgia,Information Technology,2023,0,True
Côte d'Ivoire,All,2023,0,True
Colombia,Finance,2023,0,True
Bosnia and Herzegovina,Agriculture,2023,0,True
Dominican Republic,Transportation,2023,0,True
Indonesia,Energy and natural resources,2023,1,True
Honduras,Media and Entertainment,2024,1,False
Tunisia,Navigation and mapping,2024,0,False
Albania,All,2016,2,True
United Arab Emirates,Energy and natural resources,2023,6,True
United Arab Emirates,Community and Lifestyle,2018,4,True
Argentina,NLP,2023,470,True
Argentina,Biotechnology,2020,12,True
Argentina,Hardware,2023,0,True
Austria,Computer Vision,2016,1,True
Austria,Education,2016,0,True
Austria,"Sales, retail, commerce, marketing",2017,1,True
Austria,Media and Entertainment,2024,0,False
Belgium,Real estate,2017,2,True
Belgium,Energy and natural resources,2018,6,True
Bulgaria,Transportation,2014,0,True
Brazil,Biotechnology,2017,1,True
Botswana,Finance,2015,1,True
Botswana,Finance,2016,0,True
Botswana,Finance,2024,1,False
Canada,Semiconductor,2019,17,True
Chile,Finance,2021,1,True
Chile,Transportation,2016,0,True
China (mainland),Navigation and mapping,2020,14,True
China (mainland),Agriculture,2020,31,True
Colombia,Transportation,2021,2,True
Colombia,Information Technology,2016,0,True
Cyprus,Healthcare and Life Sciences,2023,0,True
Czechia,Robotics,2022,1,True
Czechia,Hardware,2020,19,True
Czechia,Cyber Security,2021,3,True
Germany,Cyber Security,2017,0,True
Denmark,Finance,2023,12,True
Egypt,"Sales, retail, commerce, marketing",2019,0,True
Spain,"Military, public safety and government",2014,0,True
Estonia,Energy and natural resources,2023,1,True
Estonia,Consumer goods,2023,1,True
Finland,Lending and Investments,2020,665,True
Finland,Computer Vision,2021,15,True
Finland,Facial Recognition,2017,1,True
France,"Military, public safety and government",2023,4,True
United Kingdom,Semiconductor,2019,24,True
Greece,General purpose,2015,0,True
Greece,"Mobile, platforms & Internet services",2014,0,True
Greece,"Mobile, platforms & Internet services",2022,1,True
Croatia,Real estate,2018,3,True
Hungary,Professional services,2021,0,True
Hungary,Community and Lifestyle,2022,0,True
Ireland,Agriculture,2021,4,True
Ireland,Agriculture,2023,1,True
Ireland,Energy and natural resources,2022,23,True
Ireland,Cyber Security,2016,3,True
Iran,Data and analytics,2020,0,True
Israel,Facial Recognition,2017,2,True
Italy,Sports,2018,1,True
Italy,Agriculture,2017,1,True
Jordan,General purpose,2023,1,True
Jordan,Data and analytics,2023,1,True
Japan,Lending and Investments,2020,54,True
Kazakhstan,Healthcare and Life Sciences,2024,1,False
South Korea,Energy and natural resources,2015,1,True
Luxembourg,Information Technology,2024,22,False
Luxembourg,Privacy and Security,2024,2,False
Latvia,"Sales, retail, commerce, marketing",2017,0,True
Mexico,Agriculture,2020,0,True
Mongolia,Software,2022,0,True
Malaysia,Finance,2023,0,True
Nigeria,Professional services,2023,2,True
Nigeria,Privacy and Security,2020,1,True
Netherlands,Lending and Investments,2018,0,True
Netherlands,Cyber Security,2019,10,True
Netherlands,Sports,2023,169,True
Netherlands,Navigation and mapping,2023,13,True
Netherlands,Telecommunications,2015,0,True
Norway,Consumer goods,2019,10,True
Norway,Energy and natural resources,2015,0,True
New Zealand,Education,2023,1,True
New Zealand,Finance,2020,3,True
Oman,Data and analytics,2019,0,True
Oman,Data and analytics,2021,0,True
Pakistan,All,2024,3,False
Pakistan,Community and Lifestyle,2022,3,True
Pakistan,Software,2022,9,True
Pakistan,Information Technology,2021,3,True
Peru,Healthcare and Life Sciences,2017,0,True
Philippines,"Mobile, platforms & Internet services",2024,11,False
Philippines,Software,2014,2,True
Philippines,Information Technology,2015,2,True
Poland,"Military, public safety and government",2023,1,True
Puerto Rico,Media and Entertainment,2021,1,True
Portugal,Computer Vision,2017,0,True
Portugal,Community and Lifestyle,2019,3,True
Portugal,Finance,2020,2,True
Saudi Arabia,NLP,2024,12,False
Singapore,Agriculture,2017,2,True
Singapore,Consumer goods,2022,22,True
Singapore,Semiconductor,2021,10,True
Serbia,Agriculture,2018,0,True
Slovakia,Hardware,2018,1,True
Sweden,Telecommunications,2024,0,False
Thailand,Speech Recognition,2024,0,False
Taiwan,Manufacturing,2019,10,True
Taiwan,Education,2022,1,True
Taiwan,Biotechnology,2019,1,True
Ukraine,Semiconductor,2015,0,True
South Africa,Manufacturing,2018,2,True
South Africa,"Sales, retail, commerce, marketing",2023,1,True
South Africa,Energy and natural resources,2019,123,True
South Africa,Energy and natural resources,2021,0,True
Zambia,Data and analytics,2021,0,True
Zimbabwe,Data and analytics,2019,0,True
Slovenia,All,2014,0,True
Slovenia,All,2021,4,True
Slovenia,General purpose,2017,5,True
Slovenia,Data and analytics,2016,0,True
Australia,Privacy and Security,2022,17,True
Austria,Software,2014,4,True
Austria,All,2019,100,True
Austria,All,2022,452,True
Austria,Hardware,2017,2,True
Belgium,Finance,2020,6,True
Belgium,Software,2017,161,True
Brazil,Data and analytics,2014,13,True
Canada,Education,2022,19,True
Canada,Computer Vision,2017,2,True
Canada,Hardware,2017,72,True
Canada,NLP,2022,19,True
Canada,Software,2023,1219,True
Canada,"Sales, retail, commerce, marketing",2016,229,True
Switzerland,Software,2017,348,True
Switzerland,"Sales, retail, commerce, marketing",2019,60,True
Switzerland,General purpose,2020,1466,True
Switzerland,Privacy and Security,2022,131,True
Chile,Data and analytics,2014,100,True
China (mainland),Real estate,2024,27,False
China (mainland),Finance,2018,979,True
China (mainland),All,2020,9887,True
China (mainland),Education,2024,113,False
China (mainland),Consumer goods,2018,383,True
China (mainland),Data and analytics,2016,4057,True
China (mainland),"Sales, retail, commerce, marketing",2019,96,True
Cyprus,Software,2017,1,True
Cyprus,All,2019,3,True
Cyprus,Data and analytics,2018,1,True
Germany,NLP,2015,1,True
Germany,Media and Entertainment,2015,8,True
Germany,Media and Entertainment,2017,33,True
Spain,Community and Lifestyle,2024,15,False
Spain,Professional services,2016,1,True
Estonia,All,2020,24,True
Estonia,Information Technology,2020,6,True
Estonia,Data and analytics,2023,12,True
Estonia,Software,2018,17,True
Finland,"Mobile, platforms & Internet services",2014,0,True
Finland,"Sales, retail, commerce, marketing",2019,201,True
Finland,"Sales, retail, commerce, marketing",2023,24,True
Finland,Data and analytics,2020,898,True
France,Media and Entertainment,2020,4,True
France,General purpose,2023,2141,True
France,"Mobile, platforms & Internet services",2023,416,True
United Kingdom,Energy and natural resources,2016,14,True
United Kingdom,Telecommunications,2021,126,True
United Kingdom,Finance,2015,63,True
United Kingdom,Finance,2018,302,True
United Kingdom,Transportation,2017,80,True
United Kingdom,Agriculture,2014,2,True
United Kingdom,Education,2022,109,True
United Kingdom,NLP,2022,317,True
Greece,Data and analytics,2018,2,True
Greece,All,2016,11,True
Greece,All,2020,21,True
Hungary,Software,2015,344,True
India,"Mobile, platforms & Internet services",2016,110,True
India,Lending and Investments,2021,1,True
India,Finance,2017,4633,True
India,Hardware,2023,2527,True
Ireland,Media and Entertainment,2015,5,True
Iceland,Software,2024,7,False
Iceland,Data and analytics,2018,4,True
Iceland,Data and analytics,2023,3,True
Israel,NLP,2014,9,True
Israel,Finance,2014,3,True
Israel,Agriculture,2014,4,True
Israel,"Sales, retail, commerce, marketing",2019,130,True
Israel,General purpose,2014,61,True
Israel,General purpose,2022,1887,True
Italy,Data and analytics,2015,36,True
