country,field,year,num_patent_applications,complete
France,Transportation,2015,6,True
United Kingdom,Energy Management,2017,9,True
United Kingdom,Telecommunications,2014,17,True
United Kingdom,Business,2017,23,True
United Kingdom,Business,2019,35,True
United Kingdom,All,2020,438,False
Greece,Industry and Manufacturing,2023,0,False
Greece,Physical Sciences and Engineering,2019,1,True
Ireland,All,2016,2,True
Israel,Transportation,2017,5,True
India,Industry and Manufacturing,2018,14,True
India,Physical Sciences and Engineering,2016,1,True
Italy,Physical Sciences and Engineering,2017,0,True
Japan,Transportation,2017,394,True
Japan,Physical Sciences and Engineering,2018,128,True
Japan,Energy Management,2018,111,True
South Korea,Energy Management,2016,71,True
South Korea,Transportation,2017,217,True
Lithuania,Industry and Manufacturing,2016,1,True
Lithuania,Energy Management,2022,0,False
Morocco,Personal Devices and Computing,2014,2,True
Mexico,Life Sciences,2014,6,True
Mexico,Life Sciences,2017,19,True
Mexico,Security,2020,4,False
Malaysia,Life Sciences,2014,2,True
Malaysia,Business,2014,0,True
Malaysia,All,2018,11,True
Malaysia,All,2020,3,False
Netherlands,Business,2014,0,True
Netherlands,All,2017,5,True
Norway,Telecommunications,2018,3,True
New Zealand,Energy Management,2015,1,True
Philippines,All,2016,3,True
Philippines,Telecommunications,2019,0,True
Poland,Business,2017,1,True
Portugal,Physical Sciences and Engineering,2020,0,False
Portugal,Physical Sciences and Engineering,2022,0,False
Portugal,Transportation,2020,0,False
Russia,Security,2018,19,True
Sweden,Energy Management,2022,1,False
Sweden,Industry and Manufacturing,2014,0,True
Singapore,Business,2019,23,True
Singapore,Business,2021,1,False
Slovenia,Personal Devices and Computing,2022,0,False
Turkey,Telecommunications,2018,2,True
Taiwan,All,2017,186,True
Taiwan,Life Sciences,2017,27,True
United States,Banking and Finance,2014,94,True
South Africa,Personal Devices and Computing,2018,2,True
South Africa,Personal Devices and Computing,2023,0,False
Sri Lanka,Industry and Manufacturing,2016,0,True
Thailand,Transportation,2017,0,True
Thailand,Life Sciences,2017,0,True
Jordan,Life Sciences,2017,0,True
Uruguay,Transportation,2020,0,False
Tunisia,Life Sciences,2021,0,False
Ireland,Banking and Finance,2018,0,True
Colombia,Transportation,2023,0,False
Czechia,Physical Sciences and Engineering,2018,0,True
Bulgaria,Personal Devices and Computing,2023,0,False
Portugal,Banking and Finance,2021,0,False
Israel,Energy Management,2022,0,False
Serbia,Physical Sciences and Engineering,2016,0,True
Ukraine,Physical Sciences and Engineering,2017,0,True
Costa Rica,Life Sciences,2020,0,False
Austria,Life Sciences,2017,3,True
Australia,Physical Sciences and Engineering,2020,57,False
Australia,Life Sciences,2014,33,True
Australia,Security,2017,17,True
Belgium,Energy Management,2018,0,True
Belgium,Energy Management,2019,0,True
Canada,Industry and Manufacturing,2017,37,True
Canada,Industry and Manufacturing,2022,2,False
Canada,Business,2018,111,True
Chile,Personal Devices and Computing,2019,0,True
China (mainland),Telecommunications,2021,6725,False
China (mainland),Security,2022,2914,False
Colombia,Business,2021,1,False
Colombia,Banking and Finance,2021,0,False
Czechia,Personal Devices and Computing,2023,0,False
Germany,Banking and Finance,2016,13,True
Denmark,Transportation,2020,1,False
Denmark,Industry and Manufacturing,2014,3,True
Denmark,Telecommunications,2021,3,False
Spain,All,2020,53,False
Spain,All,2021,40,False
Spain,Banking and Finance,2017,2,True
Spain,Banking and Finance,2020,0,False
Spain,Banking and Finance,2023,0,False
Spain,Life Sciences,2014,13,True
France,Physical Sciences and Engineering,2023,0,False
France,Transportation,2017,13,True
United Kingdom,Industry and Manufacturing,2019,12,True
United Kingdom,Industry and Manufacturing,2023,4,False
Greece,Transportation,2018,0,True
Greece,All,2021,8,False
Hong Kong,Physical Sciences and Engineering,2016,1,True
Israel,Telecommunications,2020,10,False
Israel,Business,2016,0,True
Israel,Life Sciences,2015,3,True
Israel,Life Sciences,2016,1,True
India,Telecommunications,2021,0,False
Italy,Life Sciences,2019,17,True
Italy,Telecommunications,2022,2,False
South Korea,All,2017,2377,True
South Korea,Business,2014,32,True
South Korea,Business,2015,23,True
South Korea,Business,2022,1056,False
South Korea,Life Sciences,2017,364,True
Lithuania,Industry and Manufacturing,2022,0,False
Lithuania,Physical Sciences and Engineering,2018,2,True
Lithuania,Business,2017,1,True
Lithuania,Business,2020,0,False
Luxembourg,Energy Management,2019,0,True
Luxembourg,Security,2016,0,True
Luxembourg,All,2020,13,False
Morocco,Business,2020,0,False
Morocco,Personal Devices and Computing,2017,3,True
Morocco,Personal Devices and Computing,2020,0,False
Mexico,Transportation,2022,0,False
Malaysia,Personal Devices and Computing,2014,6,True
Malaysia,Personal Devices and Computing,2019,2,True
Malaysia,Life Sciences,2018,1,True
Malaysia,Telecommunications,2016,4,True
Norway,Personal Devices and Computing,2019,3,True
New Zealand,Personal Devices and Computing,2020,1,False
New Zealand,Energy Management,2018,0,True
Peru,Transportation,2016,0,True
Peru,Transportation,2018,0,True
Poland,Life Sciences,2016,6,True
Poland,Business,2021,0,False
Poland,Banking and Finance,2017,1,True
Poland,Telecommunications,2018,5,True
Poland,Personal Devices and Computing,2015,6,True
Poland,Personal Devices and Computing,2018,7,True
Portugal,Business,2014,1,True
Portugal,Personal Devices and Computing,2018,3,True
Portugal,All,2022,1,False
Serbia,Business,2015,1,True
Russia,Security,2017,17,True
Russia,Life Sciences,2018,21,True
Sweden,Security,2015,0,True
Sweden,Telecommunications,2021,4,False
Sweden,Telecommunications,2023,0,False
Sweden,All,2019,16,True
Singapore,Physical Sciences and Engineering,2016,4,True
Singapore,Physical Sciences and Engineering,2018,19,True
Turkey,Industry and Manufacturing,2020,4,False
Turkey,Security,2020,6,False
Turkey,Business,2014,0,True
Turkey,Business,2017,1,True
Turkey,Physical Sciences and Engineering,2018,0,True
United States,Physical Sciences and Engineering,2023,2,False
Brunei Darussalam,Telecommunications,2014,0,True
"Moldova, Republic of",Security,2021,0,False
Slovakia,Telecommunications,2021,0,False
Czechia,Energy Management,2019,0,True
Czechia,Banking and Finance,2019,0,True
Belgium,Banking and Finance,2019,0,True
Bulgaria,Business,2018,0,True
Bulgaria,Telecommunications,2023,0,False
Bulgaria,Personal Devices and Computing,2019,0,True
Bulgaria,Energy Management,2018,0,True
Portugal,Banking and Finance,2015,0,True
Romania,Industry and Manufacturing,2017,0,True
Ukraine,Telecommunications,2019,0,True
Ukraine,Business,2023,0,False
Saudi Arabia,Industry and Manufacturing,2021,0,False
Argentina,Personal Devices and Computing,2019,0,True
Austria,Transportation,2016,3,True
Austria,Business,2014,0,True
Bulgaria,All,2017,3,True
Brazil,Security,2014,2,True
Brazil,Industry and Manufacturing,2016,4,True
Brazil,Personal Devices and Computing,2019,78,True
Canada,Business,2022,14,False
Switzerland,Business,2022,1,False
Switzerland,Physical Sciences and Engineering,2015,0,True
China (mainland),Business,2022,10054,False
China (mainland),Telecommunications,2023,7692,False
China (mainland),Personal Devices and Computing,2021,50082,False
China (mainland),Life Sciences,2015,192,True
Colombia,Industry and Manufacturing,2023,0,False
Colombia,Business,2022,1,False
Czechia,All,2021,2,False
Czechia,Life Sciences,2018,0,True
Denmark,Life Sciences,2015,10,True
Denmark,Energy Management,2017,0,True
Denmark,Business,2019,1,True
Denmark,Industry and Manufacturing,2021,1,False
Spain,Energy Management,2020,2,False
Spain,Banking and Finance,2015,5,True
Spain,Life Sciences,2019,15,True
Finland,Energy Management,2014,1,True
France,Telecommunications,2016,12,True
France,Personal Devices and Computing,2023,0,False
United Kingdom,Banking and Finance,2014,4,True
United Kingdom,Life Sciences,2021,73,False
United Kingdom,Energy Management,2023,3,False
Greece,Security,2014,0,True
Greece,Personal Devices and Computing,2022,6,False
Greece,Banking and Finance,2014,0,True
Hungary,Personal Devices and Computing,2021,1,False
Hungary,Telecommunications,2016,2,True
Hungary,Energy Management,2018,0,True
India,Transportation,2016,6,True
India,Energy Management,2022,0,False
Italy,Business,2021,9,False
Italy,Personal Devices and Computing,2016,2,True
Italy,Physical Sciences and Engineering,2016,1,True
Japan,Business,2021,212,False
Japan,Telecommunications,2015,81,True
South Korea,Life Sciences,2018,679,True
South Korea,Transportation,2018,312,True
South Korea,Transportation,2022,233,False
South Korea,Transportation,2023,4,False
Lithuania,Life Sciences,2016,0,True
Luxembourg,Business,2019,1,True
Morocco,Personal Devices and Computing,2018,1,True
Morocco,Life Sciences,2017,0,True
Morocco,Physical Sciences and Engineering,2020,0,False
Mexico,Transportation,2023,0,False
Mexico,Industry and Manufacturing,2017,9,True
Mexico,Physical Sciences and Engineering,2021,19,False
Malaysia,Transportation,2019,0,True
Netherlands,Personal Devices and Computing,2020,7,False
Netherlands,Banking and Finance,2020,1,False
Norway,Security,2021,0,False
Norway,Energy Management,2014,0,True
Peru,Life Sciences,2016,0,True
Peru,All,2022,2,False
Philippines,Telecommunications,2017,0,True
Poland,Life Sciences,2015,4,True
Poland,Business,2014,0,True
Poland,Physical Sciences and Engineering,2019,0,True
Poland,Banking and Finance,2016,0,True
Portugal,Business,2018,0,True
Portugal,Industry and Manufacturing,2018,1,True
Portugal,Physical Sciences and Engineering,2021,0,False
Romania,All,2022,7,False
Russia,Life Sciences,2014,10,True
Russia,Telecommunications,2019,24,True
Sweden,Security,2022,4,False
Sweden,Industry and Manufacturing,2021,4,False
Sweden,Transportation,2015,1,True
Sweden,Life Sciences,2015,1,True
Sweden,Life Sciences,2018,5,True
Singapore,All,2019,151,True
Tunisia,All,2021,2,False
Turkey,Physical Sciences and Engineering,2014,0,True
Taiwan,Transportation,2023,0,False
Ukraine,Personal Devices and Computing,2023,0,False
United States,Security,2022,220,False
South Africa,Physical Sciences and Engineering,2014,0,True
Brunei Darussalam,Physical Sciences and Engineering,2014,0,True
Costa Rica,Business,2020,0,False
Costa Rica,Security,2020,0,False
Jordan,Physical Sciences and Engineering,2021,0,False
Saudi Arabia,Telecommunications,2021,0,False
Uruguay,Transportation,2017,0,True
Slovakia,Life Sciences,2015,0,True
Tunisia,Industry and Manufacturing,2022,0,False
Colombia,Energy Management,2023,0,False
Czechia,Physical Sciences and Engineering,2023,0,False
Bulgaria,Personal Devices and Computing,2015,0,True
Bulgaria,Banking and Finance,2020,0,False
Ukraine,Energy Management,2019,0,True
South Africa,Transportation,2023,0,False
Slovenia,Energy Management,2022,0,False
Indonesia,Business,2016,1,True
Argentina,Physical Sciences and Engineering,2016,0,True
Australia,Energy Management,2017,9,True
Australia,Life Sciences,2018,170,True
Belgium,Telecommunications,2018,1,True
Canada,Industry and Manufacturing,2023,0,False
Canada,Transportation,2021,36,False
Canada,Energy Management,2015,13,True
Canada,Security,2015,8,True
Switzerland,All,2022,2,False
China (mainland),Transportation,2019,2059,True
China (mainland),Energy Management,2014,155,True
China (mainland),Banking and Finance,2018,759,True
China (mainland),Personal Devices and Computing,2024,358,False
China (mainland),Physical Sciences and Engineering,2014,43,True
Czechia,All,2018,1,True
Czechia,Business,2017,0,True
Germany,Energy Management,2019,44,True
Germany,Physical Sciences and Engineering,2019,41,True
Germany,Industry and Manufacturing,2014,6,True
Germany,Business,2016,22,True
Germany,Life Sciences,2016,39,True
Germany,Life Sciences,2022,71,False
Denmark,Transportation,2021,0,False
Denmark,Telecommunications,2020,9,False
Spain,Security,2014,4,True
Spain,Security,2018,5,True
Spain,Life Sciences,2023,0,False
Finland,Telecommunications,2021,20,False
Finland,Banking and Finance,2019,0,True
France,Security,2022,11,False
France,Industry and Manufacturing,2015,1,True
France,Life Sciences,2014,6,True
France,Energy Management,2019,6,True
United Kingdom,Transportation,2017,38,True
United Kingdom,All,2015,92,True
United Kingdom,Personal Devices and Computing,2020,144,False
Greece,Security,2021,0,False
Hungary,Telecommunications,2021,1,False
Hungary,Physical Sciences and Engineering,2016,2,True
Israel,All,2017,21,True
Israel,Personal Devices and Computing,2014,4,True
Israel,Transportation,2021,4,False
Israel,Security,2022,2,False
India,All,2015,111,True
India,All,2016,156,True
India,Banking and Finance,2022,0,False
India,Transportation,2015,4,True
Italy,Life Sciences,2016,7,True
Italy,Transportation,2015,1,True
Italy,Banking and Finance,2016,1,True
Jordan,All,2021,2,False
Japan,Personal Devices and Computing,2014,181,True
Japan,Energy Management,2019,124,True
South Korea,Banking and Finance,2022,202,False
South Korea,Banking and Finance,2023,7,False
South Korea,Transportation,2019,649,True
Luxembourg,Energy Management,2020,0,False
Luxembourg,Industry and Manufacturing,2019,0,True
Luxembourg,All,2023,39,False
Mexico,Telecommunications,2018,14,True
Malaysia,Banking and Finance,2020,1,False
Malaysia,Security,2019,0,True
Netherlands,Telecommunications,2014,0,True
Norway,Security,2017,0,True
Norway,Banking and Finance,2017,1,True
New Zealand,All,2017,14,True
Peru,Transportation,2019,1,True
Peru,All,2021,4,False
Peru,Energy Management,2015,0,True
Poland,Industry and Manufacturing,2016,1,True
Poland,Industry and Manufacturing,2019,2,True
Poland,Life Sciences,2018,5,True
Portugal,Security,2021,1,False
Portugal,Personal Devices and Computing,2020,3,False
Serbia,Industry and Manufacturing,2022,0,False
Saudi Arabia,All,2021,1,False
Sweden,Security,2018,1,True
Sweden,Business,2015,1,True
Singapore,Personal Devices and Computing,2018,86,True
Slovenia,Life Sciences,2018,2,True
Slovenia,Personal Devices and Computing,2016,0,True
Turkey,Industry and Manufacturing,2014,0,True
Turkey,Life Sciences,2015,1,True
Turkey,Telecommunications,2022,4,False
Turkey,Energy Management,2019,0,True
Taiwan,All,2016,98,True
Taiwan,Transportation,2019,7,True
United States,Transportation,2016,823,True
United States,Security,2019,1070,True
United States,Business,2018,1807,True
South Africa,Personal Devices and Computing,2022,0,False
Kenya,Industry and Manufacturing,2016,0,True
Oman,Security,2016,0,True
Panama,Telecommunications,2016,0,True
Costa Rica,Transportation,2019,0,True
Latvia,Personal Devices and Computing,2017,0,True
Uruguay,Security,2017,0,True
Croatia,Transportation,2018,0,True
Croatia,Security,2015,0,True
Tunisia,Energy Management,2022,0,False
Ireland,Transportation,2018,0,True
Bulgaria,Life Sciences,2022,0,False
Chile,Banking and Finance,2022,0,False
Portugal,Banking and Finance,2014,0,True
Romania,Industry and Manufacturing,2023,0,False
Romania,Personal Devices and Computing,2016,0,True
Romania,Personal Devices and Computing,2018,0,True
Ukraine,Transportation,2014,0,True
Saudi Arabia,Banking and Finance,2021,0,False
Austria,Energy Management,2018,3,True
Australia,Industry and Manufacturing,2014,5,True
Belgium,Energy Management,2023,0,False
Belgium,Industry and Manufacturing,2019,0,True
Brazil,Physical Sciences and Engineering,2015,5,True
Canada,Security,2016,26,True
Canada,Security,2018,54,True
Canada,Security,2023,0,False
Switzerland,Business,2017,0,True
China (mainland),Transportation,2024,50,False
China (mainland),All,2015,3944,True
China (mainland),Business,2023,10562,False
China (mainland),Energy Management,2019,2014,True
China (mainland),Physical Sciences and Engineering,2016,229,True
Colombia,Industry and Manufacturing,2022,0,False
Germany,Telecommunications,2017,69,True
Denmark,Transportation,2019,4,True
Denmark,Energy Management,2020,0,False
Spain,Energy Management,2017,4,True
Spain,Energy Management,2019,5,True
Finland,Business,2015,2,True
France,Telecommunications,2020,50,False
France,Business,2022,7,False
France,Energy Management,2021,14,False
United Kingdom,Banking and Finance,2015,3,True
United Kingdom,Physical Sciences and Engineering,2020,19,False
United Kingdom,All,2019,422,True
Greece,Security,2019,0,True
Greece,Life Sciences,2021,1,False
Hungary,Life Sciences,2021,1,False
Hungary,Transportation,2021,0,False
Hungary,Personal Devices and Computing,2015,3,True
Hungary,Energy Management,2021,0,False
Hungary,Business,2014,0,True
Israel,Industry and Manufacturing,2015,0,True
India,Banking and Finance,2018,12,True
India,Security,2017,12,True
India,Life Sciences,2017,34,True
Italy,Telecommunications,2020,10,False
Japan,Transportation,2014,88,True
Japan,Physical Sciences and Engineering,2020,167,False
South Korea,Security,2017,139,True
South Korea,Energy Management,2020,424,False
Lithuania,Industry and Manufacturing,2015,1,True
Lithuania,Transportation,2015,0,True
Lithuania,Transportation,2018,0,True
Luxembourg,Personal Devices and Computing,2022,22,False
Morocco,Industry and Manufacturing,2014,1,True
Morocco,Banking and Finance,2014,0,True
Mexico,Business,2018,12,True
Mexico,Personal Devices and Computing,2020,33,False
Malaysia,Business,2020,1,False
Malaysia,All,2014,10,True
Netherlands,Security,2016,0,True
Netherlands,Personal Devices and Computing,2021,6,False
Netherlands,Personal Devices and Computing,2022,11,False
Netherlands,Personal Devices and Computing,2023,0,False
Netherlands,All,2014,1,True
Netherlands,All,2019,24,True
Netherlands,All,2021,45,False
Norway,Security,2019,0,True
Norway,Physical Sciences and Engineering,2020,2,False
Norway,Personal Devices and Computing,2017,0,True
New Zealand,Personal Devices and Computing,2021,0,False
Peru,Personal Devices and Computing,2016,0,True
Peru,Energy Management,2018,0,True
Poland,Energy Management,2015,1,True
Poland,Energy Management,2017,0,True
Portugal,Transportation,2019,0,True
Romania,Energy Management,2017,0,True
Romania,All,2019,6,True
Romania,Physical Sciences and Engineering,2021,0,False
Serbia,Personal Devices and Computing,2016,0,True
Serbia,Business,2018,0,True
Russia,Physical Sciences and Engineering,2015,3,True
Sweden,Physical Sciences and Engineering,2020,2,False
Sweden,Banking and Finance,2021,1,False
Sweden,Life Sciences,2017,0,True
Singapore,Energy Management,2021,0,False
Singapore,Security,2014,1,True
Singapore,Security,2016,7,True
Slovenia,Telecommunications,2018,1,True
Turkey,Transportation,2016,2,True
Turkey,Security,2014,0,True
Taiwan,Banking and Finance,2023,0,False
Taiwan,Telecommunications,2015,10,True
Ukraine,Personal Devices and Computing,2016,0,True
United States,Personal Devices and Computing,2021,4533,False
United States,Security,2015,221,True
Azerbaijan,Security,2018,0,True
Azerbaijan,Banking and Finance,2018,0,True
Panama,Energy Management,2016,0,True
Saudi Arabia,Physical Sciences and Engineering,2018,0,True
Slovakia,Personal Devices and Computing,2015,0,True
Slovakia,Life Sciences,2021,0,False
Ireland,Physical Sciences and Engineering,2018,0,True
Czechia,Security,2021,0,False
Bulgaria,Telecommunications,2020,0,False
Chile,Business,2014,0,True
Romania,Banking and Finance,2021,0,False
Serbia,Life Sciences,2015,0,True
Ukraine,Industry and Manufacturing,2016,0,True
Ireland,Business,2022,0,False
Jordan,Telecommunications,2017,1,True
Saudi Arabia,Energy Management,2018,1,True
Argentina,Security,2020,0,False
Argentina,Banking and Finance,2018,0,True
Austria,Personal Devices and Computing,2020,6,False
Austria,Telecommunications,2015,1,True
Austria,Banking and Finance,2019,0,True
Brazil,All,2014,34,True
Brazil,Physical Sciences and Engineering,2021,11,False
Canada,Industry and Manufacturing,2019,53,True
Canada,Energy Management,2014,12,True
Canada,All,2016,335,True
Chile,Personal Devices and Computing,2023,0,False
Chile,Transportation,2021,0,False
Chile,Telecommunications,2018,0,True
Chile,Industry and Manufacturing,2017,0,True
China (mainland),Banking and Finance,2020,1693,False
China (mainland),Personal Devices and Computing,2016,3239,True
Czechia,Life Sciences,2017,0,True
Czechia,Life Sciences,2019,0,True
Czechia,Industry and Manufacturing,2017,0,True
Germany,Banking and Finance,2021,29,False
Germany,All,2015,121,True
Denmark,Physical Sciences and Engineering,2015,0,True
Denmark,All,2017,20,True
Spain,Life Sciences,2018,23,True
Finland,Banking and Finance,2020,0,False
Finland,Life Sciences,2020,5,False
Finland,Industry and Manufacturing,2021,5,False
France,Banking and Finance,2020,8,False
France,Banking and Finance,2022,2,False
France,Life Sciences,2019,21,True
France,Energy Management,2016,3,True
United Kingdom,Industry and Manufacturing,2017,13,True
United Kingdom,Security,2019,29,True
United Kingdom,Telecommunications,2023,72,False
United Kingdom,Business,2015,15,True
Greece,All,2020,5,False
Croatia,All,2018,3,True
Hungary,Industry and Manufacturing,2019,0,True
