country,field,year,num_patent_granted,complete
Belgium,Physical Sciences and Engineering,2020,1,False
Belgium,Telecommunications,2017,0,True
Belgium,Personal Devices and Computing,2019,0,False
Czechia,All,2020,1,False
Argentina,All,2017,1,True
Argentina,Physical Sciences and Engineering,2019,2,False
Brunei Darussalam,All,2014,1,True
Turkey,Industry and Manufacturing,2016,0,True
Turkey,Personal Devices and Computing,2017,1,True
Turkey,Transportation,2015,1,True
Morocco,Physical Sciences and Engineering,2016,0,True
Morocco,Security,2017,0,True
Hungary,Banking and Finance,2021,0,False
India,Physical Sciences and Engineering,2015,0,True
Italy,Physical Sciences and Engineering,2015,0,True
Italy,Security,2016,1,True
Mexico,Life Sciences,2019,17,False
Malaysia,Security,2019,0,False
Malaysia,Banking and Finance,2018,1,False
New Zealand,Physical Sciences and Engineering,2021,0,False
Russia,Banking and Finance,2018,5,False
Singapore,Security,2018,18,False
Singapore,Business,2020,7,False
Singapore,Energy Management,2014,1,True
Austria,Life Sciences,2022,0,False
Canada,All,2015,154,True
Canada,Industry and Manufacturing,2018,34,False
Denmark,Physical Sciences and Engineering,2021,0,False
Finland,All,2019,23,False
Portugal,Banking and Finance,2022,0,False
Portugal,Business,2015,0,True
Sweden,Telecommunications,2019,3,False
Sweden,Industry and Manufacturing,2014,0,True
Australia,Telecommunications,2017,47,True
Australia,Security,2016,23,True
Australia,Business,2020,61,False
Germany,Security,2019,12,False
Germany,All,2015,97,True
Germany,All,2017,301,True
Germany,All,2022,180,False
Spain,Business,2019,4,False
United Kingdom,Security,2017,17,True
United Kingdom,Telecommunications,2023,0,False
Japan,Life Sciences,2014,90,True
Japan,Life Sciences,2015,121,True
Japan,Telecommunications,2017,288,True
Japan,Transportation,2021,71,False
South Korea,Energy Management,2020,292,False
Netherlands,Banking and Finance,2019,0,False
Netherlands,Life Sciences,2014,1,True
Taiwan,All,2014,31,True
Taiwan,Industry and Manufacturing,2015,3,True
United States,Security,2020,814,False
United States,Telecommunications,2017,2078,True
China (mainland),Personal Devices and Computing,2021,25296,False
Ukraine,Telecommunications,2023,0,False
Ukraine,Industry and Manufacturing,2015,0,True
Ukraine,Industry and Manufacturing,2022,0,False
South Africa,Security,2021,0,False
Switzerland,Life Sciences,2018,1,False
Switzerland,Physical Sciences and Engineering,2014,1,True
Switzerland,Personal Devices and Computing,2021,0,False
Romania,All,2016,1,True
Romania,Physical Sciences and Engineering,2015,1,True
Peru,Life Sciences,2022,0,False
Peru,Energy Management,2020,1,False
Peru,All,2020,6,False
Bulgaria,Transportation,2020,0,False
Croatia,Life Sciences,2019,0,False
Norway,Energy Management,2022,1,False
Norway,Business,2017,0,True
Luxembourg,Business,2017,0,True
Belgium,Banking and Finance,2023,0,False
Ireland,Business,2018,0,False
Czechia,Industry and Manufacturing,2023,1,False
Argentina,Personal Devices and Computing,2017,0,True
Iran,Industry and Manufacturing,2018,0,False
Cuba,Life Sciences,2020,0,False
Turkey,Banking and Finance,2015,0,True
Turkey,Business,2019,0,False
Morocco,Physical Sciences and Engineering,2015,0,True
Morocco,Security,2020,0,False
Brazil,Personal Devices and Computing,2018,52,False
Hungary,All,2014,1,True
Hungary,All,2016,6,True
India,Energy Management,2014,0,True
Mexico,Industry and Manufacturing,2018,10,False
Mexico,Transportation,2017,18,True
Mexico,Telecommunications,2019,18,False
Malaysia,All,2015,15,True
Malaysia,Personal Devices and Computing,2017,5,True
New Zealand,Security,2019,1,False
New Zealand,Energy Management,2016,0,True
Russia,Personal Devices and Computing,2017,84,True
Singapore,All,2016,42,True
Singapore,Life Sciences,2020,0,False
Singapore,Energy Management,2018,3,False
Austria,Telecommunications,2022,0,False
Canada,Banking and Finance,2014,2,True
Canada,Personal Devices and Computing,2018,258,False
Denmark,Business,2022,0,False
Denmark,Industry and Manufacturing,2017,0,True
Denmark,Life Sciences,2018,8,False
Denmark,Personal Devices and Computing,2022,0,False
Finland,Business,2021,0,False
Finland,Life Sciences,2016,3,True
Finland,Telecommunications,2015,0,True
Finland,Telecommunications,2022,2,False
Israel,Transportation,2018,0,False
Israel,Telecommunications,2016,3,True
Israel,Telecommunications,2017,5,True
Poland,Transportation,2019,1,False
Poland,Transportation,2021,0,False
Portugal,Personal Devices and Computing,2017,2,True
Portugal,Telecommunications,2019,0,False
Portugal,Security,2015,0,True
Sweden,Transportation,2015,1,True
Sweden,Banking and Finance,2015,0,True
Sweden,Energy Management,2016,0,True
Sweden,Energy Management,2022,0,False
Australia,Personal Devices and Computing,2015,53,True
Australia,Industry and Manufacturing,2014,4,True
Australia,Banking and Finance,2020,34,False
Australia,Physical Sciences and Engineering,2023,1,False
Germany,Personal Devices and Computing,2022,35,False
Germany,Business,2014,3,True
Germany,Physical Sciences and Engineering,2019,15,False
Spain,Industry and Manufacturing,2019,6,False
Spain,All,2016,54,True
France,Industry and Manufacturing,2022,1,False
United Kingdom,Business,2020,10,False
United Kingdom,Security,2023,0,False
United Kingdom,Telecommunications,2020,44,False
United Kingdom,Energy Management,2014,3,True
United Kingdom,Personal Devices and Computing,2022,17,False
Greece,Energy Management,2017,0,True
Greece,Personal Devices and Computing,2018,4,False
Greece,Industry and Manufacturing,2023,0,False
Japan,Energy Management,2014,47,True
Japan,Life Sciences,2021,152,False
Japan,Telecommunications,2016,143,True
Japan,Business,2023,4,False
Japan,Physical Sciences and Engineering,2021,55,False
South Korea,Life Sciences,2015,54,True
South Korea,Life Sciences,2019,678,False
South Korea,Banking and Finance,2017,53,True
South Korea,Energy Management,2021,259,False
South Korea,Personal Devices and Computing,2023,34,False
Netherlands,All,2015,5,True
Taiwan,Life Sciences,2023,1,False
Taiwan,Industry and Manufacturing,2014,1,True
Taiwan,Industry and Manufacturing,2023,0,False
Taiwan,Physical Sciences and Engineering,2019,9,False
Taiwan,Business,2018,13,False
Taiwan,Telecommunications,2021,42,False
United States,Telecommunications,2016,1208,True
China (mainland),Business,2022,2334,False
China (mainland),Telecommunications,2022,2919,False
China (mainland),Banking and Finance,2016,60,True
China (mainland),All,2019,26194,False
China (mainland),Physical Sciences and Engineering,2017,181,True
Lithuania,Life Sciences,2018,3,False
Lithuania,Business,2016,0,True
Ukraine,Transportation,2023,0,False
Ukraine,Business,2019,0,False
Serbia,Life Sciences,2015,0,True
South Africa,Physical Sciences and Engineering,2021,0,False
South Africa,Industry and Manufacturing,2017,0,True
South Africa,Telecommunications,2014,0,True
Switzerland,Personal Devices and Computing,2016,1,True
Romania,Business,2022,0,False
Romania,Physical Sciences and Engineering,2017,0,True
Chile,Physical Sciences and Engineering,2018,1,False
Kenya,Industry and Manufacturing,2016,0,True
Kenya,All,2016,1,True
Sri Lanka,Business,2016,0,True
Norway,Banking and Finance,2020,0,False
Norway,Telecommunications,2022,0,False
Luxembourg,Life Sciences,2023,5,False
Luxembourg,Physical Sciences and Engineering,2018,1,False
Ireland,Security,2016,0,True
Czechia,Business,2017,0,True
Czechia,Physical Sciences and Engineering,2020,0,False
Argentina,Telecommunications,2022,0,False
Argentina,Life Sciences,2019,1,False
Argentina,Personal Devices and Computing,2020,0,False
Brunei Darussalam,Personal Devices and Computing,2014,0,True
Turkey,Banking and Finance,2018,1,False
Turkey,All,2018,5,False
Morocco,Banking and Finance,2015,1,True
Morocco,Security,2014,1,True
Brazil,Transportation,2014,5,True
Brazil,Physical Sciences and Engineering,2014,2,True
Brazil,All,2020,61,False
Hungary,Energy Management,2016,0,True
Hungary,Energy Management,2021,0,False
Hungary,Security,2015,0,True
Hungary,Telecommunications,2020,1,False
India,Personal Devices and Computing,2017,137,True
India,Personal Devices and Computing,2018,127,False
India,All,2021,1,False
Italy,Banking and Finance,2021,0,False
Italy,Security,2015,0,True
Malaysia,Business,2015,1,True
Singapore,All,2020,25,False
Singapore,Telecommunications,2016,12,True
Singapore,Physical Sciences and Engineering,2018,11,False
Austria,Banking and Finance,2016,0,True
Austria,Transportation,2014,0,True
Austria,All,2014,1,True
Canada,Physical Sciences and Engineering,2019,42,False
Canada,Life Sciences,2015,48,True
Canada,Life Sciences,2016,83,True
Canada,Security,2015,7,True
Denmark,Business,2014,0,True
Denmark,Banking and Finance,2015,2,True
Denmark,Banking and Finance,2019,0,False
Denmark,Transportation,2015,3,True
Denmark,Transportation,2016,3,True
Denmark,Life Sciences,2014,6,True
Finland,Banking and Finance,2021,0,False
Poland,Telecommunications,2019,9,False
Poland,Transportation,2015,2,True
Portugal,Physical Sciences and Engineering,2017,0,True
Sweden,Physical Sciences and Engineering,2014,0,True
Australia,All,2014,68,True
Australia,Physical Sciences and Engineering,2015,13,True
Germany,Personal Devices and Computing,2018,148,False
Germany,Life Sciences,2018,38,False
Germany,Telecommunications,2020,58,False
Germany,All,2019,426,False
Spain,Industry and Manufacturing,2015,5,True
Spain,Energy Management,2014,1,True
Spain,Energy Management,2017,2,True
Spain,Security,2014,4,True
France,Banking and Finance,2020,4,False
France,Personal Devices and Computing,2020,55,False
United Kingdom,Telecommunications,2019,60,False
United Kingdom,All,2023,3,False
Greece,Personal Devices and Computing,2023,1,False
Greece,Telecommunications,2019,0,False
Greece,Security,2023,0,False
Greece,Business,2019,0,False
Greece,All,2019,3,False
Greece,Physical Sciences and Engineering,2016,0,True
Japan,Telecommunications,2018,399,False
Japan,Business,2016,96,True
Japan,Physical Sciences and Engineering,2023,2,False
South Korea,Industry and Manufacturing,2018,212,False
South Korea,Life Sciences,2017,294,True
South Korea,Physical Sciences and Engineering,2015,9,True
Taiwan,Security,2022,4,False
Taiwan,Security,2023,0,False
Taiwan,Physical Sciences and Engineering,2015,2,True
Taiwan,Banking and Finance,2017,3,True
Taiwan,Telecommunications,2022,16,False
China (mainland),Business,2021,4125,False
China (mainland),All,2015,2561,True
China (mainland),Energy Management,2023,1589,False
China (mainland),Physical Sciences and Engineering,2014,31,True
Lithuania,Life Sciences,2017,0,True
Ukraine,Security,2019,0,False
Serbia,All,2018,2,False
South Africa,Security,2014,1,True
South Africa,Industry and Manufacturing,2021,0,False
Switzerland,Security,2020,0,False
Philippines,Physical Sciences and Engineering,2016,0,True
Peru,Life Sciences,2019,0,False
Slovenia,Industry and Manufacturing,2016,0,True
Bulgaria,Energy Management,2015,0,True
Croatia,Transportation,2018,0,False
Kenya,Life Sciences,2016,0,True
Norway,Banking and Finance,2021,0,False
Norway,Telecommunications,2020,1,False
Belgium,Energy Management,2019,0,False
Belgium,Life Sciences,2019,0,False
Czechia,Life Sciences,2022,0,False
Argentina,Energy Management,2022,0,False
Argentina,Personal Devices and Computing,2019,0,False
Cuba,Physical Sciences and Engineering,2020,1,False
Morocco,Personal Devices and Computing,2018,1,False
Morocco,Energy Management,2017,0,True
Morocco,Banking and Finance,2019,1,False
Morocco,Life Sciences,2020,0,False
Brazil,Banking and Finance,2021,3,False
Brazil,Physical Sciences and Engineering,2016,6,True
India,Physical Sciences and Engineering,2017,1,True
India,Physical Sciences and Engineering,2018,6,False
Italy,Business,2021,3,False
Mexico,Transportation,2015,15,True
Mexico,Transportation,2018,8,False
Malaysia,Physical Sciences and Engineering,2016,0,True
New Zealand,Personal Devices and Computing,2020,1,False
Russia,Telecommunications,2020,23,False
Singapore,Personal Devices and Computing,2021,2,False
Austria,Industry and Manufacturing,2019,0,False
Canada,Personal Devices and Computing,2021,50,False
Denmark,Business,2020,2,False
Denmark,Telecommunications,2015,5,True
Denmark,Life Sciences,2020,1,False
Finland,Physical Sciences and Engineering,2021,1,False
Israel,Banking and Finance,2022,0,False
Poland,Banking and Finance,2022,0,False
Poland,Energy Management,2016,0,True
Portugal,Energy Management,2022,0,False
Portugal,Life Sciences,2022,1,False
Sweden,Telecommunications,2020,6,False
Germany,Physical Sciences and Engineering,2015,1,True
Spain,Industry and Manufacturing,2022,2,False
Greece,Transportation,2022,1,False
Greece,Telecommunications,2017,0,True
Greece,Business,2021,1,False
Greece,Industry and Manufacturing,2017,1,True
Japan,Business,2015,56,True
South Korea,Telecommunications,2015,58,True
Netherlands,Telecommunications,2014,0,True
Netherlands,Transportation,2014,0,True
Netherlands,Banking and Finance,2021,1,False
Taiwan,Personal Devices and Computing,2015,12,True
Taiwan,Industry and Manufacturing,2022,5,False
Taiwan,Physical Sciences and Engineering,2020,3,False
United States,All,2017,8062,True
United States,Transportation,2015,328,True
China (mainland),Business,2020,3883,False
China (mainland),Banking and Finance,2023,262,False
China (mainland),Life Sciences,2017,564,True
China (mainland),Transportation,2020,3049,False
Lithuania,Industry and Manufacturing,2018,0,False
Lithuania,Security,2019,0,False
Lithuania,Energy Management,2015,0,True
Ukraine,All,2015,12,True
Ukraine,Physical Sciences and Engineering,2015,0,True
South Africa,All,2021,20,False
Switzerland,Security,2021,0,False
Switzerland,Energy Management,2016,1,True
Romania,Banking and Finance,2021,0,False
Philippines,Security,2016,0,True
Peru,Industry and Manufacturing,2019,0,False
Peru,Energy Management,2022,0,False
Bulgaria,Industry and Manufacturing,2015,0,True
Bulgaria,Life Sciences,2015,0,True
Slovakia,Business,2021,0,False
Hong Kong,Energy Management,2016,0,True
Norway,Personal Devices and Computing,2021,0,False
Norway,Security,2019,0,False
Norway,Security,2020,2,False
Norway,Business,2018,0,False
Norway,Industry and Manufacturing,2018,0,False
Luxembourg,Business,2018,0,False
Luxembourg,Business,2019,1,False
Luxembourg,Personal Devices and Computing,2019,5,False
Belgium,Security,2020,0,False
Belgium,All,2019,1,False
Belgium,Business,2017,2,True
Belgium,Business,2019,0,False
Ireland,Banking and Finance,2022,0,False
Ireland,Life Sciences,2016,1,True
Czechia,All,2023,3,False
Czechia,Personal Devices and Computing,2021,0,False
Argentina,Life Sciences,2022,0,False
Argentina,Physical Sciences and Engineering,2018,3,False
Jordan,Security,2021,1,False
Turkey,Telecommunications,2016,0,True
Turkey,Transportation,2017,0,True
Morocco,Physical Sciences and Engineering,2020,0,False
Morocco,Banking and Finance,2014,0,True
Morocco,Life Sciences,2016,0,True
Brazil,Industry and Manufacturing,2018,12,False
Brazil,Business,2019,23,False
Brazil,Business,2020,7,False
Brazil,Telecommunications,2020,12,False
Hungary,Transportation,2017,0,True
India,Industry and Manufacturing,2015,2,True
India,Industry and Manufacturing,2021,0,False
India,Energy Management,2020,0,False
Italy,All,2016,11,True
Italy,Telecommunications,2015,1,True
Mexico,All,2016,51,True
Mexico,Personal Devices and Computing,2021,5,False
Mexico,Physical Sciences and Engineering,2019,10,False
Malaysia,Personal Devices and Computing,2016,4,True
New Zealand,All,2020,1,False
New Zealand,Life Sciences,2021,0,False
Russia,Physical Sciences and Engineering,2016,4,True
Russia,Security,2021,3,False
Singapore,All,2014,22,True
Singapore,Personal Devices and Computing,2020,14,False
Canada,Life Sciences,2021,38,False
Finland,Business,2020,4,False
Finland,Life Sciences,2017,4,True
Israel,Industry and Manufacturing,2018,1,False
Israel,Physical Sciences and Engineering,2016,0,True
Poland,Business,2018,1,False
Poland,Physical Sciences and Engineering,2015,0,True
Poland,Transportation,2017,2,True
Portugal,Industry and Manufacturing,2020,0,False
Portugal,Telecommunications,2016,4,True
Sweden,Life Sciences,2017,0,True
Sweden,Life Sciences,2022,1,False
Australia,Security,2019,33,False
Spain,Industry and Manufacturing,2021,7,False
Spain,Energy Management,2019,4,False
France,Life Sciences,2023,0,False
France,Telecommunications,2022,4,False
United Kingdom,Security,2020,11,False
United Kingdom,Transportation,2014,6,True
United Kingdom,Personal Devices and Computing,2019,138,False
Greece,Transportation,2016,0,True
Greece,Transportation,2023,0,False
Greece,Energy Management,2015,1,True
Greece,Physical Sciences and Engineering,2019,1,False
Greece,Banking and Finance,2016,0,True
Japan,Personal Devices and Computing,2014,164,True
Japan,Life Sciences,2017,331,True
Japan,Security,2020,91,False
