country,field,num_articles,num_citations
Kyrgyzstan,Large language models,2,6
Azerbaijan,Large language models,2,0
Botswana,Large language models,2,0
Mauritania,Natural Language Processing,2,4
Maldives,Natural Language Processing,2,50
Niger,Natural Language Processing,2,216
Cape Verde,Natural Language Processing,2,2
Grenada,Natural Language Processing,2,39
Vatican City,Natural Language Processing,2,12
Chad,Natural Language Processing,2,26
Sierra Leone,Natural Language Processing,2,2
Dominica,Natural Language Processing,2,30
Samoa,All,3,12
Suriname,All,3,30
Saint Kitts and Nevis,Robotics,3,1
Vatican City,Robotics,3,8
Togo,Robotics,3,57
Côte d'Ivoire,Robotics,3,11
Laos,Robotics,3,10
Congo,AI Safety,3,13
Mauritius,AI Safety,3,3
Syria,AI Safety,3,0
Botswana,AI Safety,3,28
Dominican Republic,AI Safety,3,40
Mali,AI Safety,3,500
Myanmar,AI Safety,3,48
Fiji,AI Safety,3,49
Madagascar,AI Safety,3,2
Kosovo,AI Safety,3,29
Comoros,Computer Vision,3,12
Lesotho,Computer Vision,3,3
Barbados,Computer Vision,3,47
Cambodia,Large language models,3,3
Costa Rica,Large language models,3,2
Montenegro,Large language models,3,15
Brunei Darussalam,Large language models,3,12
Syria,Large language models,3,43
Eritrea,Natural Language Processing,3,1
Timor-Leste,Natural Language Processing,3,14
Saint Vincent and the Grenadines,All,4,121
Seychelles,All,4,49
Kiribati,All,4,7
Zambia,Robotics,4,743
